dataType,metadata_generatedAt,metadata_generatedBy,metadata_logFileName,metadata_schemaVersion,metadata_RSUID,metadata_kind,metadata_psid,metadata_bsmSource,metadata_externalID,coreData_msgCnt,coreData_id,coreData_secMark,coreData_position_lat,coreData_position_long,coreData_elevation,coreData_accelset_accelYaw,coreData_accelset_lat,coreData_accelset_long,coreData_accelset_vert,coreData_angle,coreData_accuracy_orientation,coreData_accuracy_semiMajor,coreData_accuracy_semiMinor,coreData_transmission,coreData_speed,coreData_heading,coreData_brakes_wheelBrakes_leftFront,coreData_brakes_wheelBrakes_rightFront,coreData_brakes_wheelBrakes_unavailable,coreData_brakes_wheelBrakes_leftRear,coreData_brakes_wheelBrakes_rightRear,coreData_brakes_traction,coreData_brakes_abs,coreData_brakes_scs,coreData_brakes_brakeBoost,coreData_brakes_auxBrakes,coreData_size,part2_suve_classification,part2_suve_cd_hpmstype,part2_suve_cd_role,part2_suve_vd_height,part2_suve_vd_mass,part2_suve_vd_bumpers_front,part2_suve_vd_bumpers_rear,part2_vse_events,part2_vse_ph_crumbdata,part2_vse_pp_confidence,part2_vse_pp_radiusofcurve,part2_vse_lights,coreData_position,randomNum,metadata_generatedAt_timeOfDay
bsm,3/19/2021 0:44,rsu,2021_3_19_0_thea20.csv,1,thea20,in,32,RV,NA,111,8601236,54950,279469190,-824576109,-231,-31,-2,0,49,127,25202,24,19,unavailable,524,5578,0,0,1,0,0,unavailable,unavailable,unavailable,off,unavailable,"{""width"": ""210"", ""length"": ""460""}",NaN,,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,POINT (-82.4576109 27.946919),0.076601138,0.748333333
bsm,3/19/2021 0:44,rsu,2021_3_19_0_thea20.csv,1,thea20,in,32,RV,NA,10,8601236,57650,279469990,-824573582,-229,70,28,-46,48,127,24656,27,20,unavailable,463,5555,0,0,1,0,0,unavailable,unavailable,unavailable,off,unavailable,"{""width"": ""210"", ""length"": ""460""}",NaN,,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,POINT (-82.4573582 27.946999),0.831036805,0.749166667
bsm,3/19/2021 0:44,rsu,2021_3_19_0_thea20.csv,1,thea20,in,32,RV,NA,114,8601236,55200,279469225,-824575857,-232,-42,-35,-58,47,127,24823,26,20,unavailable,512,5594,0,0,1,0,0,unavailable,unavailable,unavailable,off,unavailable,"{""width"": ""210"", ""length"": ""460""}",NaN,,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,POINT (-82.4575857 27.9469225),0.1221229,0.748611111
bsm,3/19/2021 0:44,rsu,2021_3_19_0_thea20.csv,1,thea20,in,32,RV,NA,15,8601236,58150,279470143,-824573160,-229,49,39,-91,48,127,24626,27,21,unavailable,440,5577,0,0,1,0,0,unavailable,unavailable,unavailable,off,unavailable,"{""width"": ""210"", ""length"": ""460""}",NaN,,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,POINT (-82.457316 27.9470143),0.735769454,0.749444444
bsm,3/19/2021 0:44,rsu,2021_3_19_0_thea20.csv,1,thea20,in,32,RV,NA,115,8601236,55350,279469273,-824575710,-232,-76,-15,-14,49,127,24823,26,20,unavailable,511,5585,0,0,1,0,0,unavailable,unavailable,unavailable,off,unavailable,"{""width"": ""210"", ""length"": ""460""}",NaN,,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,POINT (-82.457571 27.9469273),0.129717671,0.748611111
bsm,3/19/2021 0:44,rsu,2021_3_19_0_thea20.csv,1,thea20,in,32,RV,NA,22,8601236,58850,279470318,-824572629,-228,9,15,-130,49,127,24646,27,21,unavailable,386,5588,0,0,1,0,0,unavailable,unavailable,unavailable,off,unavailable,"{""width"": ""210"", ""length"": ""460""}",NaN,,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,POINT (-82.4572629 27.9470318),0.89649674,0.749444444
bsm,3/19/2021 0:44,rsu,2021_3_19_0_thea20.csv,1,thea20,in,32,RV,NA,116,8601236,55449,279469309,-824575606,-232,-64,-23,-52,49,127,24646,27,20,unavailable,510,5577,0,0,1,0,0,unavailable,unavailable,unavailable,off,unavailable,"{""width"": ""210"", ""length"": ""460""}",NaN,,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,POINT (-82.4575606 27.9469309),0.26917869,0.748611111
bsm,3/19/2021 0:44,rsu,2021_3_19_0_thea20.csv,1,thea20,in,32,RV,NA,117,8601236,55550,279469341,-824575509,-232,-42,-18,-44,48,127,24646,27,20,unavailable,507,5574,0,0,1,0,0,unavailable,unavailable,unavailable,off,unavailable,"{""width"": ""210"", ""length"": ""460""}",NaN,,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,POINT (-82.4575509 27.9469341),0.672485778,0.748611111
bsm,3/19/2021 5:55,rsu,2021_3_19_5_thea5.csv,1,thea5,in,32,RV,NA,17,8586600,29900,279482389,-824562236,-254,-95,29,-50,50,127,31124,15,10,unavailable,688,19826,0,0,1,0,0,unavailable,unavailable,unavailable,off,unavailable,"{""width"": ""208"", ""length"": ""430""}",NaN,,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,POINT (-82.4562236 27.9482389),0.425758279,5.924722222
bsm,3/19/2021 5:55,rsu,2021_3_19_5_thea5.csv,1,thea5,in,32,RV,NA,16,8586600,29800,279482436,-824562107,-254,-121,16,-2,48,127,31124,15,10,unavailable,688,19835,0,0,1,0,0,unavailable,unavailable,unavailable,off,unavailable,"{""width"": ""208"", ""length"": ""430""}",NaN,,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,POINT (-82.4562107 27.9482436),0.507613451,5.924722222
